"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"332",13,"New England Patriots",NE,"DST13","-","276","339","300.6","19.6","-"
"333",13,"Tyquan Thornton",KC,"WR118","25","240","389","303.1","44.7","-"
"334",13,"Los Angeles Chargers",LAC,"DST14","-","273","349","303.2","23.9","-"
"335",13,"Joshua Karty",FA,"K15","24","223","338","282.0","31.5","-"
"336",13,"Dont'e Thornton Jr.",LV,"WR119","23","252","398","316.8","39.9","-"
"337",13,"Spencer Rattler",NO,"QB51","25","239","342","283.6","27.6","-"
"338",13,"Buffalo Bills",BUF,"DST15","-","274","343","298.8","22.3","-"
"339",13,"Cleveland Browns",CLE,"DST16","-","272","355","311.5","24.8","-"
"340",13,"Tanner Koziol",JAC,"TE49","22","263","366","313.3","32.9","-"
"341",13,"Luke McCaffrey",WAS,"WR120","25","259","375","317.1","39.2","-"
"342",13,"Garrett Nussmeier",KC,"QB52","24","258","338","297.4","21.8","-"
"343",13,"Konata Mumpfield",LAR,"WR121","23","223","387","284.4","54.7","-"
"344",13,"Savion Williams",GB,"WR122","24","274","349","313.8","24.9","-"
"345",13,"Devin Singletary",NYG,"RB91","28","226","368","314.3","39.0","-"
"346",13,"Joe Flacco",CIN,"QB53","41","277","393","316.0","33.5","-"
"347",13,"Jaylin Lane",WAS,"WR123","24","265","370","316.1","32.1","-"
"348",13,"Joshua Palmer",BUF,"WR124","26","243","392","325.9","48.0","-"
"349",13,"Andy Borregales",NE,"K16","23","218","353","291.4","38.7","-"
"350",13,"Jalen Tolbert",MIA,"WR125","27","231","344","293.0","36.1","-"
"351",13,"New Orleans Saints",NO,"DST17","-","216","360","309.8","45.1","-"
"352",13,"Deion Burks",IND,"WR126","23","254","350","298.3","33.3","-"
"353",14,"Marlin Klein",HOU,"TE50","23","257","367","312.3","34.5","-"
"354",14,"Joe Milton III",DAL,"QB54","26","265","394","310.7","40.1","-"
"355",14,"Calvin Austin III",NYG,"WR127","27","248","378","310.9","39.0","-"
"356",14,"Justice Hill",BAL,"RB92","28","304","386","333.1","27.3","-"
"357",14,"Tyson Bagent",CHI,"QB55","26","261","383","312.4","46.0","-"
"358",14,"Jack Endries",CIN,"TE51","22","251","380","324.8","43.9","-"
"359",14,"Jordan Whittington",LAR,"WR128","25","265","405","348.6","41.4","-"
"360",14,"Daniel Carlson",LV,"K17","31","218","368","280.4","55.8","-"
"361",14,"Riley Leonard",IND,"QB56","23","316","362","329.4","14.7","-"
"362",14,"Jason Sanders",NYJ,"K18","30","222","342","284.0","51.1","-"
"363",14,"Jahan Dotson",ATL,"WR129","26","261","359","319.9","33.0","-"
"364",14,"Chicago Bears",CHI,"DST18","-","204","361","285.2","51.5","-"
"365",14,"Tutu Atwell",MIA,"WR130","26","256","395","331.0","52.5","-"
"366",14,"Dawson Knox",BUF,"TE52","29","246","383","331.3","40.4","-"
"367",14,"Blake Grupe",IND,"K19","27","271","308","287.4","12.3","-"
"368",14,"Dallas Cowboys",DAL,"DST19","-","221","366","287.8","57.3","-"
"369",14,"Davis Mills",HOU,"QB57","27","247","386","324.3","49.2","-"
"370",14,"Roman Hemby",LV,"RB93","23","289","363","316.0","27.4","-"
"371",14,"CJ Daniels",LAR,"WR131","24","243","394","316.3","57.0","-"
"372",14,"Michael Trigg",DAL,"TE53","24","250","390","329.3","42.7","-"
"373",14,"San Francisco 49ers",SF,"DST20","-","211","350","298.8","50.5","-"
"374",14,"Harrison Mevis",LAR,"K20","24","273","326","299.4","20.2","-"
"375",14,"Matt Hibner",BAL,"TE54","24","268","360","319.3","27.9","-"
"376",14,"Malik Benson",LV,"WR132","23","257","346","302.2","33.1","-"
"377",14,"New York Giants",NYG,"DST21","-","223","367","279.0","59.1","-"
"378",14,"KeAndre Lambert-Smith",LAC,"WR133","24","283","396","343.5","36.5","-"
"379",14,"Robert Henry Jr.",WAS,"RB94","24","213","373","306.0","58.0","-"
"380",14,"Joe Mixon",FA,"RB95","30","287","359","323.0","24.8","-"
"381",14,"J'Mari Taylor",JAC,"RB96","24","273","401","336.4","45.2","-"
"382",14,"Eddy Pineiro",SF,"K21","30","286","335","308.6","20.5","-"
"383",14,"Ja'Lynn Polk",NO,"WR134","24","214","377","310.6","62.3","-"
"384",14,"Jake Elliott",PHI,"K22","31","288","370","327.2","27.9","-"
"385",14,"Aaron Anderson",CLE,"WR135","23","250","364","289.5","46.4","-"
"386",14,"Jonnu Smith",FA,"TE55","30","255","341","313.0","31.0","-"
"387",14,"Washington Commanders",WAS,"DST22","-","290","345","313.4","17.9","-"
"388",14,"Elijah Moore",PHI,"WR136","26","274","377","317.0","42.1","-"
"389",14,"Samaje Perine",CIN,"RB97","30","281","353","317.4","26.6","-"
"390",14,"Cyrus Allen",KC,"WR137","23","295","371","333.2","24.1","-"
"391",14,"Noah Gray",KC,"TE56","27","294","385","351.6","25.6","-"
"392",14,"Audric Estime",NO,"RB98","22","307","372","334.5","26.8","-"
"393",14,"Charlie Kolar",LAC,"TE57","27","231","366","298.8","63.4","-"
"394",14,"Emari Demercado",KC,"RB99","27","323","391","353.3","23.3","-"
"395",14,"Cairo Santos",CHI,"K23","34","290","329","304.5","16.1","-"
"396",14,"Tyler Bass",BUF,"K24","29","283","365","325.4","28.6","-"
"397",14,"John Metchie III",CAR,"WR138","26","291","386","349.9","28.5","-"
"398",14,"Jaleel McLaughlin",DEN,"RB100","25","308","388","350.4","34.1","-"
"399",14,"Jam Miller",NE,"RB101","22","285","357","328.8","29.1","-"
"400",14,"KaVontae Turpin",DAL,"WR139","29","240","380","330.8","55.8","-"
"401",14,"Tyler Higbee",LAR,"TE58","33","304","389","360.8","27.6","-"
"402",14,"Luke Musgrave",GB,"TE59","25","341","375","355.0","11.4","-"
"403",14,"Trey Lance",LAC,"QB58","26","289","378","347.2","29.8","-"
"404",14,"Malik Davis",DAL,"RB102","27","296","366","336.0","29.0","-"
"405",14,"Dillon Gabriel",CLE,"QB59","25","303","384","337.4","26.4","-"
"406",14,"Brandon McManus",FA,"K25","35","288","302","297.3","6.6","-"
"407",14,"Mack Hollins",NE,"WR140","32","271","376","341.8","40.0","-"
"408",14,"George Holani",SEA,"RB103","26","296","364","342.0","25.6","-"
"409",14,"Eric Rivers Jr.",TB,"WR141","23","251","375","326.5","47.1","-"
"410",14,"Josh Cameron",JAC,"WR142","23","318","364","343.2","17.5","-"
"411",14,"Tai Felton",MIN,"WR143","23","275","389","345.8","41.6","-"
"412",14,"Trey Smack",GB,"K26","23","293","332","306.0","18.4","-"
"413",14,"Zavion Thomas",CHI,"WR144","22","314","373","348.6","19.2","-"
"414",14,"Noah Fant",NO,"TE60","28","311","382","349.0","24.6","-"
"415",14,"Tanner McKee",PHI,"QB60","26","312","381","349.0","27.1","-"
"416",14,"Mitchell Evans",CAR,"TE61","23","319","391","358.7","24.9","-"
"417",14,"Zach Ertz",FA,"TE62","35","257","381","334.8","49.2","-"
"418",14,"Jalin Hyatt",NYG,"WR145","24","272","389","312.7","54.0","-"
"419",14,"Will Levis",TEN,"QB61","27","316","385","350.4","23.7","-"
