"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"267",13,"Isaiah Davis",NYJ,"RB74","24","226","343","289.1","32.6","-"
"268",13,"Deshaun Watson",CLE,"QB37","30","204","299","256.3","24.6","-"
"269",13,"Ka'imi Fairbairn",HOU,"K4","32","247","309","269.9","20.3","-82"
"270",13,"Kirk Cousins",LV,"QB38","38","222","325","259.8","25.7","-"
"271",13,"Brenen Thompson",LAC,"WR109","23","224","292","245.3","21.7","-22"
"272",13,"Jordan James",SF,"RB75","22","218","359","287.8","34.5","-1"
"273",13,"Trey Benson",ARI,"RB76","24","200","346","297.3","38.1","-104"
"274",13,"Justin Joly",DEN,"TE40","22","189","325","252.3","43.9","-"
"275",13,"Kansas City Chiefs",KC,"DST8","-","233","330","290.3","29.4","-"
"276",13,"Chris Boswell",PIT,"K5","35","252","318","280.9","18.5","-56"
"277",13,"Will Reichard",MIN,"K6","25","242","302","270.8","21.8","-54"
"278",13,"Green Bay Packers",GB,"DST9","-","255","350","294.1","31.4","-22"
"279",13,"Anthony Richardson Sr.",IND,"QB39","24","167","283","218.1","39.8","-"
"280",13,"Jason Myers",SEA,"K7","35","246","307","273.1","19.2","-91"
"281",13,"Hollywood Brown",PHI,"WR110","29","238","399","285.2","49.5","-"
"282",13,"Kevin Coleman Jr.",MIA,"WR111","22","176","372","244.9","61.4","-4"
"283",13,"Jacksonville Jaguars",JAC,"DST10","-","253","330","288.2","25.7","-54"
"284",13,"Baltimore Ravens",BAL,"DST11","-","275","355","298.4","24.2","-88"
"285",13,"Chase McLaughlin",TB,"K8","30","263","314","290.4","15.8","-17"
"286",13,"Evan McPherson",CIN,"K9","27","260","321","291.6","20.3","-91"
"287",13,"Wil Lutz",DEN,"K10","32","270","339","291.6","18.5","-"
"288",13,"Carson Beck",ARI,"QB40","23","242","269","255.4","8.2","-55"
"289",13,"Colby Parkinson",LAR,"TE41","27","189","311","255.5","42.7","-"
"290",13,"New England Patriots",NE,"DST12","-","262","317","284.9","17.0","-100"
"291",13,"Harrison Butker",KC,"K11","31","244","353","286.5","30.0","-69"
"292",13,"Brashard Smith",KC,"RB77","23","225","365","313.9","40.7","-"
"293",13,"Tyler Loop",BAL,"K12","25","260","326","288.3","21.9","-36"
"294",13,"Tez Johnson",TB,"WR112","24","227","355","276.7","37.9","-"
"295",13,"Jake Bates",DET,"K13","27","267","342","299.6","25.1","-104"
"296",13,"Detroit Lions",DET,"DST13","-","239","347","290.2","34.9","-71"
"297",13,"DJ Giddens",IND,"RB78","23","219","369","309.6","39.5","-21"
"298",13,"Darnell Washington",PIT,"TE42","25","221","324","269.5","35.3","-"
"299",13,"Mike Gesicki",CIN,"TE43","30","210","322","285.3","41.7","-"
"300",14,"Darius Slayton",NYG,"WR113","29","240","377","285.4","45.3","-"
"301",14,"Drew Allar",PIT,"QB41","22","205","324","271.4","32.5","-43"
